instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
217,20,200,BruteForce,S,0.04356550006195903,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 1, 10: 1, 11: 1, 12: 0, 13: 1, 14: 0, 15: 0, 16: 1, 17: 0, 18: 0, 19: 0, 20: 0}"
218,20,200,BruteForce,U,1.7097141668200493,{}
219,20,200,BruteForce,S,0.5851840830873698,"{1: 0, 2: 0, 3: 1, 4: 0, 5: 1, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0, 11: 1, 12: 1, 13: 1, 14: 0, 15: 1, 16: 0, 17: 1, 18: 0, 19: 1, 20: 0}"
220,20,200,BruteForce,U,1.5297815420199186,{}
221,22,220,BruteForce,U,5.304377750027925,{}
222,22,220,BruteForce,U,6.073864083038643,{}
223,22,220,BruteForce,S,3.1791592079680413,"{1: 0, 2: 1, 3: 0, 4: 0, 5: 0, 6: 0, 7: 1, 8: 1, 9: 1, 10: 1, 11: 0, 12: 0, 13: 0, 14: 0, 15: 1, 16: 0, 17: 0, 18: 1, 19: 1, 20: 1, 21: 1, 22: 0}"
224,22,220,BruteForce,U,5.397125416900963,{}
225,22,220,BruteForce,S,3.6631994999479502,"{1: 1, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 0, 10: 1, 11: 1, 12: 1, 13: 1, 14: 1, 15: 1, 16: 1, 17: 0, 18: 1, 19: 1, 20: 0, 21: 0, 22: 1}"
226,22,220,BruteForce,U,5.313628583215177,{}
227,22,220,BruteForce,S,1.7636304169427603,"{1: 0, 2: 1, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 1, 9: 0, 10: 1, 11: 0, 12: 0, 13: 1, 14: 1, 15: 1, 16: 0, 17: 1, 18: 0, 19: 1, 20: 0, 21: 1, 22: 0}"
228,22,220,BruteForce,U,6.030124542070553,{}
229,22,220,BruteForce,S,3.5953470829408616,"{1: 0, 2: 0, 3: 1, 4: 1, 5: 0, 6: 0, 7: 1, 8: 1, 9: 0, 10: 1, 11: 0, 12: 0, 13: 1, 14: 0, 15: 0, 16: 1, 17: 1, 18: 0, 19: 0, 20: 1, 21: 0, 22: 1}"
230,22,220,BruteForce,U,5.138075542170554,{}
231,24,240,BruteForce,U,20.235637082951143,{}
232,24,240,BruteForce,S,6.479175165994093,"{1: 1, 2: 1, 3: 1, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 1, 11: 1, 12: 0, 13: 1, 14: 0, 15: 0, 16: 0, 17: 1, 18: 1, 19: 0, 20: 1, 21: 1, 22: 0, 23: 1, 24: 0}"
233,24,240,BruteForce,U,24.226701500127092,{}
